================================================================================
BEST BETS RANKING REPORT
Generated: 2026-06-21 07:17:43 (Sunday)
Races ranked by score gap between 1st and 2nd place dogs.
Largest gap = strongest model confidence / best bet.
================================================================================
📊 GAP SUMMARY: median 3.14%  |  ≥20%: 5 race(s)  |  ≥10%: 18 race(s)  |  Total: 120 races
================================================================================

Rank  Track            Race       Gap  1st Dog                        1st%  2nd Dog                        2nd%
105   DUBBO            R1     0.6789%  Box 3 One Last Shot          12.2495%  Box 4 Rusty Whistle          11.5706%
106   HEALESVILLE      R7     0.6102%  Box 7 Sailplane              12.4456%  Box 5 Missy Who              11.8354%
107   HEALESVILLE      R4     0.5981%  Box 5 Knee Deep              11.9259%  Box 8 Lady Gunai             11.3278%
108   HEALESVILLE      R11    0.5068%  Box 4 Field Of Angels        11.9068%  Box 8 Electra Opal           11.4000%
109   SALE             R12    0.4412%  Box 5 Warrior Jack           16.7680%  Box 6 Despicable Andy        16.3268%
110   GAWLER           R2     0.3990%  Box 6 Black Amethyst         18.6561%  Box 8 Ritza Wotton           18.2571%
111   Capalaba         R1     0.3504%  Box 3 Factory Second         10.5237%  Box 2 Too Many Words         10.1733%
112   DARWIN           R3     0.3368%  Box 7 Trust Me               15.3185%  Box 5 Little Riley           14.9817%
113   BROKEN HILL      R8     0.3361%  Box 2 Ritza Benji             8.8900%  Box 4 State Of Madness        8.5539%
114   GAWLER           R3     0.2789%  Box 2 White Hot Dreams       13.5798%  Box 1 Gulf Stream            13.3009%
115   SALE             R9     0.2559%  Box 8 Be A Shadow            12.6560%  Box 7 Dr. Monica             12.4001%
116   RICHMOND         R3     0.2387%  Box 2 Federal Fonz           14.5683%  Box 1 Ice Dolly              14.3296%
117   RICHMOND         R2     0.1950%  Box 4 Zipping Lambert        15.2437%  Box 1 Zipping Jakara         15.0487%
118   Q PARKLANDS      R6     0.1712%  Box 1 Great Terms            14.6598%  Box 5 Zephyr                 14.4886%
119   BROKEN HILL      R4     0.1506%  Box 1 Who Knows Wendy        13.3526%  Box 4 Del Mar Deb            13.2020%
120   DARWIN           R9     0.1083%  Box 2 Dance Her Home         14.0640%  Box 1 Mister Easy            13.9557%
----------------------------------------------------------------------------------------------------

Total races ranked: 120

🏆 BEST BET: BROKEN HILL Race 5 - Box 3 Uncontested (gap: 25.6986%)
