Box,DogName,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,PrizeMoney,RTC,DLR,DLW,RaceNumber,RaceDate,RaceTime,Track,Distance,BestTimeSec,SectionalSec,Last3TimesSec,Margins,BoxBiasFactor,TrackConditionAdj,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,RestFactor,OverexposedPenalty,FinalScore
4,Mason Kai,12255,Kaylene Hatzi,3d,0.0,4,4,18,59,12980.0,60,7,49,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.06779661016949153,0.5,0.7,0.15,0.8,0.0,26.697678242941052
6,Black Spaniard,67574,Tammy Carswell,3d,0.0,6,11,11,52,21080.0,26,7,189,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.21153846153846154,0.5,0.7,0.15,0.8,0.0,27.52205242807795
7,Harper,31474,Graham Whitford,3b,0.0,7,6,20,46,17210.0,23,7,77,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.13043478260869565,0.5,0.7,0.15,0.8,0.0,27.12694206018497
8,Unacceptable Axe,52336,Judith Hurley,3d,0.0,8,3,8,19,5585.0,14,7,42,8,2025-10-19,09:16PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.15789473684210525,0.5,0.7,0.15,0.8,0.0,25.96718805560831
1,Chicken Knight,52634,Judith Hurley,3d,0.0,1,12,25,61,19070.0,50,4,119,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.19672131147540983,1.0,0.7,0.15,0.8,0.0,27.369570713071642
2,Croatian Comet,52642,Clayton Trengove,3d,0.0,2,11,25,64,22300.0,65,7,63,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.171875,0.5,0.7,0.15,0.8,0.0,27.6400860819241
3,Iceni Lethal,33567,Tegan Gray,4d,0.0,3,4,12,53,10610.0,24,7,336,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.07547169811320754,0.5,0.7,0.15,0.8,0.0,26.461445751735422
4,Del Mar Sal,43361,Kaylene Hatzi,2b,0.0,4,3,8,20,7385.0,21,7,7,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.15,0.5,0.7,0.15,0.8,0.0,26.1463985819241
7,He's A Riddler,43512,Kaylene Hatzi,2d,0.0,7,4,20,43,11000.0,44,7,14,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.09302325581395349,0.5,0.7,0.15,0.8,0.0,26.502200907505497
8,Rivia Thea,72724,Benjamin Wilson,2b,0.0,8,5,8,22,10185.0,23,7,63,9,2025-10-19,09:37PM,BROKEN HILL,375,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,60.00000000000001,44.11764705882353,0.10208928554075702,7.2,2.6500000000000004,0.22727272727272727,0.5,0.7,0.15,0.8,0.0,26.434125854651374
1,Aussie Raven,33758,Christopher Watson,2d,0.0,1,0,2,5,420.0,6,8,Mdn,1,2025-10-16,03:09PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.0,0.5,0.7,0.15,0.8,0.0,26.294604464277043
2,Trenton's Empire,57626,Ava Torr,1b,0.0,2,0,1,6,320.0,7,7,Mdn,1,2025-10-16,03:09PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.0,0.5,0.7,0.15,0.8,0.0,26.28460446427704
6,Space King,52732,Paul May,2d,0.0,6,0,6,16,2050.0,17,8,Mdn,1,2025-10-16,03:09PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.0,0.5,0.7,0.15,0.8,0.0,26.45760446427704
8,Aston Coast,5623,Angela Bigham,2d,0.0,8,0,2,4,480.0,5,8,Mdn,1,2025-10-16,03:09PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.0,0.5,0.7,0.15,0.8,0.0,26.30060446427704
1,Big Bruce,63776,Constance McMillan,3d,0.0,1,1,10,45,3530.0,46,31,91,2,2025-10-16,03:34PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.022222222222222223,0.0,0.7,0.15,0.8,0.0,26.558937797610376
2,Super Seafarer,36552,Raymond Farquhar,2d,0.0,2,1,8,20,2925.0,20,3,291,2,2025-10-16,03:34PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.05,1.0,0.7,0.15,0.8,0.0,26.602604464277043
4,Salt Speckle,33465,Dean Elliot,2b,0.0,4,1,6,12,2855.0,7,15,166,2,2025-10-16,03:34PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.08333333333333333,0.0,0.7,0.15,0.8,0.0,26.50060446427704
6,Aston Crypto,63715,Natasha Fullerton,2d,0.0,6,1,2,9,2535.0,10,16,23,2,2025-10-16,03:34PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.1111111111111111,0.0,0.7,0.15,0.8,0.0,26.472771130943705
8,Darra Mick,62085,Jenny Weber,4d,0.0,8,1,4,21,2060.0,20,35,177,2,2025-10-16,03:34PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.047619047619047616,0.0,0.7,0.15,0.8,0.0,26.415747321419897
1,Monaleen Hugh,57254,Donna Robertson,3d,0.0,1,2,4,17,5745.0,18,50,148,3,2025-10-16,03:57PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.11764705882352941,0.0,0.7,0.15,0.8,0.0,26.794751523100572
6,Weaponry,14134,Aaron Debattista,2b,0.0,6,2,1,6,3230.0,7,50,61,3,2025-10-16,03:57PM,BENDIGO,425,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,68.0,50.0,0.10208928554075702,7.2,2.6500000000000004,0.3333333333333333,0.0,0.7,0.15,0.8,0.0,26.575604464277042
1,Aston Summit,35114,Mark McClelland,2d,0.0,1,2,1,6,2485.0,7,6,12,4,2025-10-16,04:24PM,BENDIGO,500,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,80.0,58.8235294117647,0.10208928554075702,7.2,2.6500000000000004,0.3333333333333333,0.5,0.7,0.15,0.8,0.0,31.156986817218215
2,Dark Miracle,62631,Donna Robertson,3d,0.0,2,2,9,25,7895.0,26,39,39,4,2025-10-16,04:24PM,BENDIGO,500,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,80.0,58.8235294117647,0.10208928554075702,7.2,2.6500000000000004,0.08,0.0,0.7,0.15,0.8,0.0,31.609986817218214
4,Carley's Image,4712,Donna Robertson,2b,0.0,4,1,1,4,2665.0,5,39,48,4,2025-10-16,04:24PM,BENDIGO,500,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,80.0,58.8235294117647,0.10208928554075702,7.2,2.6500000000000004,0.25,0.0,0.7,0.15,0.8,0.0,31.112486817218215
5,Shrek's Brother,67465,Martin Hanke,2d,0.0,5,2,3,22,5520.0,22,12,150,4,2025-10-16,04:24PM,BENDIGO,500,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,80.0,58.8235294117647,0.10208928554075702,7.2,2.6500000000000004,0.09090909090909091,0.0,0.7,0.15,0.8,0.0,31.374123180854575
7,Aunty Faye,44613,Angela Bigham,3b,0.0,7,2,1,12,2720.0,13,29,36,4,2025-10-16,04:24PM,BENDIGO,500,22.5,8.5,"[22.65, 22.52, 22.77]","[5.0, 6.3, 10.3]",0.1,1.0,80.0,58.8235294117647,0.10208928554075702,7.2,2.6500000000000004,0.16666666666666666,0.0,0.7,0.15,0.8,0.0,31.10548681721821
